MEALS :,FOODS,beverage,PREFERENCE LIST,DIET TAG,AVOID FOR,Other who can have it ,Allergy 
BREAKFAST,Vegetable oats upma,Green Tea / Black Tea / Masala Tea,Jain/Vegetarian,High fiber Low sugar,Diabetes,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",Gluten
BREAKFAST,Moong dal chilla,Green Tea / Lemon Water,Jain/Vegetarian,High protein Low glycemic,Diabetes,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",None
BREAKFAST,Besan chilla with paneer stuffing,Milk / Almond Milk / Masala Tea,Vegetarian,High protein Balanced,Obesity,"Diabetes, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",Dairy
BREAKFAST,Vegetable poha with peanuts,Green Tea / Lemon Water,Jain/Vegetarian,Light meal Energy boosting,Diabetes,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",Peanut
BREAKFAST,Sprouts salad bowl,Lemon Water / Herbal Tea,Jain/Vegetarian,High protein High fiber,None,All,None
BREAKFAST,Paneer stuffed paratha (multigrain),Milk / Masala Tea,Vegetarian,Balanced meal Moderate carbs,Obesity,"Diabetes, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance","Dairy, Gluten"
BREAKFAST,Vegetable dalia,Lemon Water / Herbal Tea,Jain/Vegetarian,High fiber Light meal,None,All,Gluten
BREAKFAST,Oats porridge with nuts,Green Tea / Black Coffee,Jain/Vegetarian,High fiber Low sugar,Diabetes,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance","Gluten, Nuts"
BREAKFAST,Boiled eggs with toast,Black Coffee / Black Tea,Eggetarian,High protein,High Cholesterol,"Diabetes, Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, Acidity, GERD, Lactose Intolerance","Egg, Gluten"
BREAKFAST,Vegetable omelette,Green Tea / Herbal Tea,Eggetarian,High protein,None,All,Egg
BREAKFAST,Paneer bhurji with toast,Milk / Masala Tea,Vegetarian,High protein Balanced,None,All,"Dairy, Gluten"
BREAKFAST,Idli with sambar,Green Tea / Lemon Water,Jain/Vegetarian,Light meal Gut friendly,None,All,None
BREAKFAST,Ragi dosa with chutney,Green Tea / Herbal Tea,Jain/Vegetarian,High fiber Balanced,None,All,None
BREAKFAST,Smoothie bowl (banana + nuts + seeds),Milk / Almond Milk,Jain/Vegetarian,Energy boosting Vitamin rich,Diabetes,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",Nuts
BREAKFAST,Peanut butter whole wheat toast,Black Coffee / Cold Coffee / Hot Coffee,Jain/Vegetarian,Energy boosting Healthy fats,Obesity,"Diabetes, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance","Peanut, Gluten"
,,,,,,,
LUNCH,Roti sabzi with dal,Buttermilk / Masala Buttermilk,Jain/Vegetarian,Balanced meal High protein,None,All,Gluten
LUNCH,Dal rice with salad,Buttermilk / Coconut Water,Jain/Vegetarian,Balanced meal Comfort,None,All,None
LUNCH,Rajma rice,Buttermilk / Coconut Water,Vegetarian,High protein Iron rich,None,All,None
LUNCH,Chole with brown rice,Masala Buttermilk / Jeera Water,Vegetarian,High protein High fiber,None,All,None
LUNCH,Vegetable pulao with raita,Buttermilk,Vegetarian,Balanced meal,Obesity,"Diabetes, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",Dairy
LUNCH,Tawa pulao,Buttermilk / Coconut Water,Vegetarian,Moderate carbs,Diabetes,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",None
LUNCH,Paneer bhurji with roti,Buttermilk,Vegetarian,High protein,None,All,"Dairy, Gluten"
LUNCH,Palak paneer with roti,Buttermilk,Vegetarian,Iron rich High protein,None,All,"Dairy, Gluten"
LUNCH,Mixed veg curry with roti,Buttermilk / Jeera Water,Vegetarian,Balanced meal,None,All,Gluten
LUNCH,Tofu/ Paneer stir fry with rice,Buttermilk / Coconut Water,Jain/Vegetarian,High protein Low fat,None,All,Soy
LUNCH,Vegetable khichdi,Buttermilk,Jain/Vegetarian,Light meal Gut friendly,None,All,None
LUNCH,Curd rice with vegetables,Buttermilk / Coconut Water,Vegetarian,Gut friendly,Lactose Intolerance,"Diabetes, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD",Dairy
LUNCH,Paneer tikka with roti,Buttermilk,Vegetarian,High protein,None,All,Dairy
LUNCH,Chicken curry with rice,Plain Water,Non-Vegetarian,High protein,None,All,None
LUNCH,Grilled chicken with roti,Coconut Water,Non-Vegetarian,High protein Low fat,None,All,None
LUNCH,Egg curry with rice,Jeera Water,Eggetarian,High protein,None,All,Egg
LUNCH,Fish curry with rice,Mint Water,Non-Vegetarian,Omega 3 rich,None,All,Fish
LUNCH,Chicken biryani (low oil),None,Non-Vegetarian,Moderate fat,Obesity,"Diabetes, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",None
LUNCH,Vegetable biryani (brown rice),None,Vegetarian,Balanced meal,None,All,None
LUNCH,Burrito bowl (rice + beans + veggies),None,Jain/Vegetarian,High fiber Balanced,None,All,None
,,,,,,,
DINNER,Roti with mixed veg sabzi,Warm Water,Jain/Vegetarian,Balanced meal Light,None,All,Gluten
DINNER,Vegetable soup with brown bread,Warm Water / Herbal Tea,Jain/Vegetarian,Low calorie Light meal,None,All,None
DINNER,Paneer tikka salad,Herbal Tea,Vegetarian,High protein Low carb,None,All,Dairy
DINNER,Tofu salad bowl,Warm Water,Jain/Vegetarian,High protein Low fat,None,All,Soy
DINNER,Grilled chicken salad,Herbal Tea / Mint Water,Non-Vegetarian,High protein Low fat,None,All,None
DINNER,Egg bhurji with roti,Warm Water,Eggetarian,High protein,None,All,Egg
DINNER,Vegetable khichdi,Warm Water,Jain/Vegetarian,Light meal Gut friendly,None,All,None
