CONDITION,CATEGORY,FOOD YOU CAN HAVE,FOOD YOU HAVE TO AVOID 
Type 1 Diabetes,Metabolic,"Whole grains, leafy vegetables, nuts, seeds, legumes","Sugar, white bread, sugary drinks, refined flour"
Type 2 Diabetes,Metabolic,"Whole grains, leafy vegetables, nuts, seeds, legumes","Sugar, white bread, sugary drinks, refined flour"
Obesity,Metabolic,"Lean protein, vegetables, fruits, whole grains","Fast food, sugary drinks, refined carbs, fried foods"
Hypothyroidism,Hormonal,"Iodized salt, dairy, eggs, nuts","Soy products, cabbage, cauliflower, processed foods"
Hyperthyroidism,Hormonal,"Whole grains, vegetables, fruits, lean protein","Excess iodine foods, caffeine, processed foods"
Polycystic Ovary Syndrome (PCOS),Hormonal,"Whole grains, leafy vegetables, nuts, seeds, lean protein","Sugary foods, refined carbs, fried foods, processed snacks"
Polycystic Ovarian Disease (PCOD),Hormonal,"Whole grains, leafy vegetables, nuts, seeds, lean protein","Sugary foods, refined carbs, fried foods, processed snacks"
Metabolic Syndrome,Metabolic,"Whole grains, vegetables, fruits, nuts","Sugary drinks, refined carbs, processed foods"
Hypertension,Cardiovascular,"Fruits, vegetables, whole grains, low-fat dairy","Salt, pickles, chips, processed foods"
Coronary Artery Disease,Cardiovascular,"Oats, fatty fish, nuts, olive oil","Fried foods, butter, red meat, processed meat"
Heart Failure,Cardiovascular,"Vegetables, fruits, whole grains, legumes","Salt, fried foods, processed foods"
Stroke,Cardiovascular,"Fruits, vegetables, whole grains, nuts","Salt, fried foods, processed foods"
High Cholesterol,Cardiovascular,"Oats, nuts, seeds, fruits","Trans fats, fried foods, processed snacks"
Acidity,Digestive,"Banana, oats, yogurt, coconut water","Spicy food, caffeine, citrus, fried foods"
Gastroesophageal Reflux Disease (GERD),Digestive,"Oats, banana, yogurt, vegetables","Spicy food, caffeine, chocolate, fried foods"
Irritable Bowel Syndrome (IBS),Digestive,"Rice, banana, yogurt, boiled potatoes","Dairy, caffeine, spicy food, fatty food"
Constipation,Digestive,"Whole grains, fruits, vegetables, water","Processed foods, low-fiber foods, dairy (excess)"
Diarrhea,Digestive,"Rice, banana, yogurt, applesauce","Spicy food, dairy, caffeine, fatty food"
Peptic Ulcer,Digestive,"Boiled vegetables, bananas, oatmeal, yogurt","Spicy food, alcohol, caffeine, fried foods"
Migraine,Neurological,"Dark chocolate, almonds, spinach, whole grains","Caffeine, alcohol, processed food, chocolate"
Depression,Mental Health,"Fruits, vegetables, nuts, whole grains","Alcohol, caffeine, processed food, sugary foods"
Anxiety Disorder,Mental Health,"Fruits, vegetables, nuts, herbal tea","Caffeine, sugary foods, processed snacks"
Epilepsy,Neurological,"Ketogenic foods, nuts, seeds, fish","Alcohol, caffeine, processed foods"
Iron Deficiency Anemia,Deficiency,"Spinach, dates, jaggery, lentils","Tea, coffee (with meals), junk food"
Vitamin D Deficiency,Deficiency,"Milk, eggs, fatty fish, mushrooms","Processed foods, sugary drinks, junk food"
Vitamin B12 Deficiency,Deficiency,"Dairy, eggs, fish, fortified cereals","Alcohol, processed foods, junk food"
Lactose Intolerance,Allergy/Intolerance,"Lactose-free milk, almond milk, soy milk","Milk, cheese, ice cream"
Celiac Disease,Allergy/Intolerance,"Rice, quinoa, fruits, vegetables","Wheat, barley, rye"
Food Allergy,Allergy/Intolerance,"Rice, fruits, vegetables, lean protein","Allergens (nuts, shellfish, dairy)"
Osteoporosis,Bone/Joint,"Milk, yogurt, cheese, almonds","Alcohol, caffeine, excess salt"
Arthritis,Bone/Joint,"Leafy greens, broccoli, dairy, almonds","Salt, processed foods, alcohol"
Gout,Bone/Joint,"Cherries, berries, whole grains, vegetables","Red meat, organ meat, alcohol"
Asthma,Respiratory,"Fruits, vegetables, whole grains, nuts","Cold drinks, processed foods, sulfites"
Chronic Obstructive Pulmonary Disease (COPD),Respiratory,"Fruits, vegetables, whole grains, fish","Smoking, processed foods, cold drinks"
Bronchitis,Respiratory,"Warm fluids, fruits, vegetables, soups","Cold drinks, fried foods, processed snacks"
Acne,Skin,"Fruits, vegetables, whole grains, water","Oily foods, sugary foods, dairy (excess)"
Eczema,Skin,"Fruits, vegetables, nuts, seeds","Processed foods, dairy, gluten"
Psoriasis,Skin,"Fruits, vegetables, whole grains, nuts","Processed foods, alcohol, red meat"
